,FieldCapacity(-),WiltingPoint(-),MaxRootDepth(mm),DepletionFactor(-),BaseflowIndex(-),k(-),lambda(-),n(timesteps),AquiferLength(m),S3(-),S2(-),S1(-),K3(m/day),K2(m/day),K1(m/day),z3(m),z2(m),z1(m),Alpha(-),ObjectiveFunction
0,0.3718733364594709,0.4799833404444166,2145.835073017966,0.6132036871879964,0.3952869291613763,5.05320748755791,65.30571257651692,507.1303252971877,5760.969610015453,0.567648842095428,0.1554487751310247,6.306460737817997e-05,955.610561062025,779.2441711680262,436.10396121772806,88.690364737416,45.312936184748814,15.984043775023933,1,-1.58641
1,0.2606622061099016,0.5412746729757124,1847.7735355614864,0.5299822872056401,0.5469026863939369,6.081263617468922,68.7472418380725,534.1753625771007,4360.709899366276,0.5337029007552436,0.1664727639620035,0.0001026408970729,959.79997644361,795.1656131809373,374.60635084743626,89.1746962941745,41.56833920779504,20.52026479073874,1,-2.66205
2,0.1531326617600534,0.690458184906469,1320.8557727781767,0.4169977119366665,0.6892193315247143,7.705451753935554,60.07359844113845,511.99952057003145,2780.0777043030103,0.4087733321633193,0.1550868381807583,0.0001548007529329,951.475894358099,809.3037362216838,331.6746681103757,88.23045148648762,38.53616376948536,20.929612342131197,1,-3.42276
3,0.1859010078338001,0.7571231118970715,1126.185841466092,0.3906945593972545,0.6681870386835826,7.854984800077389,53.0832721581087,475.66996519370105,3046.9336252158896,0.3672660230587588,0.1531654188120808,0.000166654291251,942.2392751620416,794.1187698042646,346.64227810778857,86.52676853571795,40.18495801315258,15.481207476724386,1,-3.93919
4,0.1620525624189187,0.7078368611181396,1280.4544963526057,0.3949583663529605,0.6679898482348894,8.027816122265634,58.98902460922595,446.2271607805467,3332.2981296104417,0.3761200429275381,0.1494116343799201,0.0001372727777645,952.5920784240952,825.9491923751903,352.96533960173804,88.14056268366822,41.54139807582386,20.222955404111676,1,-3.94415
5,0.1223473012049169,0.7873326117814718,996.6150278190472,0.3376882772448978,0.7593844101772887,7.778394545668125,52.39050654620775,431.8566167004957,2849.279281393174,0.3534811637067347,0.1483561492507296,0.0001403742422984,951.3977566488084,808.372636377844,335.6688261767379,86.29329797495299,40.74461896956543,19.01914337808262,1,-4.30542
6,0.2039204594696531,0.6763371588363213,1398.5079992916808,0.4442074742734067,0.6288217940898462,7.197246953279868,59.57513770168967,511.642798863008,3321.281069040024,0.4352299956797404,0.1572526333847304,0.0001188480956328,949.1545563151888,795.651108095029,349.87258419049533,87.46396984469446,39.40685363209444,17.534067065796123,1,-4.47893
7,0.1317065123183934,0.7948523896430653,959.705594863412,0.3502823007263961,0.7411935177540754,8.182842349027446,52.47329685623029,483.6052370549004,2368.362960935547,0.3456516102701225,0.1508414557480715,0.0001889325987796,945.0492916287868,806.9026204092581,324.7705143519519,86.13446339434068,37.70096373148249,16.736875184449442,1,-4.7855
8,0.1135789754758895,0.7388163840169069,1172.53525442702,0.3937023215037993,0.7359600779628221,7.788200839898138,50.34561745242664,462.6396383659672,2705.972905785563,0.3616066831199355,0.1426092122365669,0.0001449751393738,954.0575072886618,817.8456985168032,350.4976154979594,87.44637980076038,39.725760704699255,20.51294825686357,1,-4.80781
9,0.1741249350351783,0.7354431861591499,1177.5781269375157,0.3989469204248785,0.677123359025622,7.662016657337533,57.193207291414126,504.0454756888685,2712.5678140015816,0.401216618051466,0.1558591247748159,0.0001225430218223,943.2597303439572,798.6593879536917,324.41872165174954,86.87373793317568,38.2630877799855,17.240036367453932,1,-5.18688
