Day	Month	Year	Runoff(mm/d)	ActualEvaporation(mm/d)	SMD(mm)	PotentialRecharge(mm/d)
1	1	1961	0	0	0	0	
2	1	1961	2.80573	0.552328	0	1.88494	
3	1	1961	0.488494	0.552328	0	0.328178	
4	1	1961	1.19431	0.552328	0	0.802359	
5	1	1961	1.54005	0.552328	0	1.03463	
6	1	1961	2.01677	0.552328	0	1.3549	
7	1	1961	1.00889	0.552328	0	0.677786	
8	1	1961	0	0.552328	0.547328	0	
9	1	1961	3.43539	0.552328	0	2.30795	
10	1	1961	1.50595	0.552328	0	1.01172	
11	1	1961	0	0.552328	0.543328	0	
12	1	1961	0	0.551845	1.07817	0	
13	1	1961	0.730642	0.552328	0	0.490857	
14	1	1961	0	0.552328	0.549328	0	
15	1	1961	0	0.551826	1.09815	0	
16	1	1961	0	0.551314	1.64647	0	
17	1	1961	0	0.550798	2.19627	0	
18	1	1961	0	0.55028	2.74655	0	
19	1	1961	0.923621	0.552328	0	0.620503	
20	1	1961	3.22743	0.552328	0	2.16824	
21	1	1961	0.0338984	0.552328	0	0.0227735	
22	1	1961	0	0.552328	0.229328	0	
23	1	1961	0	0.552128	0.774456	0	
24	1	1961	0	0.551613	1.32607	0	
25	1	1961	0	0.551098	1.87717	0	
26	1	1961	0	0.550581	2.42775	0	
27	1	1961	0.223663	0.552328	0	0.150261	
28	1	1961	2.88409	0.552328	0	1.93758	
29	1	1961	2.48692	0.552328	0	1.67075	
30	1	1961	0	0.552328	0.0773282	0	
31	1	1961	1.48721	0.552328	0	0.999132	
1	2	1961	1.13993	0.654246	0	0.765823	
2	2	1961	0.145802	0.654246	0	0.0979521	
3	2	1961	1.66152	0.654246	0	1.11623	
4	2	1961	1.2805	0.654246	0	0.860258	
5	2	1961	0.0285642	0.654246	0	0.0191899	
6	2	1961	0	0.654163	0.634163	0	
7	2	1961	0	0.654246	0.290409	0	
8	2	1961	1.46508	0.654246	0	0.984265	
9	2	1961	0	0.654142	0.653142	0	
10	2	1961	0	0.653437	1.29158	0	
11	2	1961	0.978681	0.654246	0	0.657494	
12	2	1961	0	0.654206	0.595206	0	
13	2	1961	0	0.653499	1.23571	0	
14	2	1961	0	0.652776	1.88848	0	
15	2	1961	0	0.652362	2.26084	0	
16	2	1961	0	0.651639	2.90848	0	
17	2	1961	0	0.650916	3.5534	0	
18	2	1961	0	0.650186	4.20158	0	
19	2	1961	0	0.649454	4.84904	0	
20	2	1961	0	0.648716	5.49775	0	
21	2	1961	0	0.647981	6.14173	0	
22	2	1961	0	0.647245	6.78398	0	
23	2	1961	0	0.64801	6.11699	0	
24	2	1961	0	0.64967	4.65766	0	
25	2	1961	0	0.649187	5.08385	0	
26	2	1961	0	0.651689	2.86353	0	
27	2	1961	4.76262	0.654246	0	3.1996	
28	2	1961	1.80268	0.654246	0	1.21107	
1	3	1961	0	1.39857	1.39557	0	
2	3	1961	0	1.39525	2.78781	0	
3	3	1961	0	1.3919	4.17971	0	
4	3	1961	0	1.38852	5.56823	0	
5	3	1961	0	1.38512	6.95336	0	
6	3	1961	0	1.3817	8.33505	0	
7	3	1961	0	1.37825	9.7133	0	
8	3	1961	0	1.37477	11.0881	0	
9	3	1961	0	1.37127	12.4563	0	
10	3	1961	0	1.36774	13.8241	0	
11	3	1961	0	1.36419	15.1883	0	
12	3	1961	0	1.3606	16.5489	0	
13	3	1961	0	1.35699	17.9049	0	
14	3	1961	0	1.35334	19.2582	0	
15	3	1961	0	1.34967	20.6079	0	
16	3	1961	0	1.34596	21.9538	0	
17	3	1961	0	1.34223	23.2961	0	
18	3	1961	0	1.33898	24.451	0	
19	3	1961	0	1.33934	24.3254	0	
20	3	1961	0	1.33954	24.2549	0	
21	3	1961	0	1.3358	25.5737	0	
22	3	1961	0	1.332	26.8957	0	
23	3	1961	0	1.32815	28.2239	0	
24	3	1961	0	1.32426	29.5481	0	
25	3	1961	0	1.32034	30.8685	0	
26	3	1961	0	1.31638	32.1848	0	
27	3	1961	0	1.31238	33.4972	0	
28	3	1961	0	1.30835	34.8056	0	
29	3	1961	0	1.31142	33.812	0	
30	3	1961	0	1.31511	32.6041	0	
31	3	1961	0	1.31422	32.8973	0	
1	4	1961	0	1.57315	23.0065	0	
2	4	1961	0	1.57871	21.2962	0	
3	4	1961	0	1.58996	17.7581	0	
4	4	1961	0	1.59917	14.7853	0	
5	4	1961	0	1.5972	15.4285	0	
6	4	1961	0	1.59226	17.0208	0	
7	4	1961	0	1.61278	10.2645	0	
8	4	1961	0	1.608	11.8715	0	
9	4	1961	0	1.60324	13.4488	0	
10	4	1961	0	1.59837	15.0472	0	
11	4	1961	0	1.59345	16.6406	0	
12	4	1961	0	1.58848	18.2281	0	
13	4	1961	0	1.58351	19.7976	0	
14	4	1961	0	1.57845	21.3761	0	
15	4	1961	0	1.57334	22.9494	0	
16	4	1961	0	1.56818	24.5176	0	
17	4	1961	0	1.56296	26.0805	0	
18	4	1961	0	1.5577	27.6382	0	
19	4	1961	0	1.55873	27.334	0	
20	4	1961	0	1.56611	25.1411	0	
21	4	1961	0	1.56089	26.696	0	
22	4	1961	0	1.56516	25.4231	0	
23	4	1961	0	1.5604	26.8425	0	
24	4	1961	0	1.55513	28.3887	0	
25	4	1961	0	1.54985	29.9205	0	
26	4	1961	0	1.54461	31.4201	0	
27	4	1961	0	1.54047	32.5896	0	
28	4	1961	0	1.53498	34.1196	0	
29	4	1961	0	1.52943	35.646	0	
30	4	1961	0	1.52382	37.1668	0	
1	5	1961	0	2.78004	38.6778	0	
2	5	1961	0	2.78787	37.5447	0	
3	5	1961	0	2.77626	39.222	0	
4	5	1961	0	2.88877	21.7317	0	
5	5	1961	0	2.87149	24.6022	0	
6	5	1961	0	2.85684	26.9821	0	
7	5	1961	0	2.83938	29.7544	0	
8	5	1961	0	2.82117	32.5746	0	
9	5	1961	0	2.80262	35.3712	0	
10	5	1961	0	2.78366	38.1549	0	
11	5	1961	0	2.76431	40.9192	0	
12	5	1961	0	2.74453	43.6637	0	
13	5	1961	0	2.72432	46.3881	0	
14	5	1961	0	2.70364	49.0917	0	
15	5	1961	0	2.68248	51.7742	0	
16	5	1961	0	2.6608	54.435	0	
17	5	1961	0	2.63857	57.0735	0	
18	5	1961	0	2.61576	59.6893	0	
19	5	1961	0	2.5926	62.2529	0	
20	5	1961	0	2.56853	64.8214	0	
21	5	1961	0	2.54376	67.3652	0	
22	5	1961	0	2.51824	69.8834	0	
23	5	1961	0	2.49191	72.3753	0	
24	5	1961	0	2.46471	74.8401	0	
25	5	1961	0	2.43657	77.2766	0	
26	5	1961	0	2.40756	79.6722	0	
27	5	1961	0	2.40288	80.0481	0	
28	5	1961	0	2.39245	80.8745	0	
29	5	1961	0	2.36187	83.2154	0	
30	5	1961	0	2.32979	85.5432	0	
31	5	1961	0	2.30787	87.06	0	
1	6	1961	0	2.34718	89.3582	0	
2	6	1961	0	2.30854	91.6648	0	
3	6	1961	0	2.26779	93.9326	0	
4	6	1961	0	2.22469	96.1573	0	
5	6	1961	0	2.17889	98.3362	0	
6	6	1961	0	2.13036	100.45	0	
7	6	1961	0	2.12939	100.49	0	
8	6	1961	0	2.12007	100.873	0	
9	6	1961	0	2.06672	102.938	0	
10	6	1961	0	2.03384	104.106	0	
11	6	1961	0	2.11447	101.1	0	
12	6	1961	0	2.36208	88.4271	0	
13	6	1961	0	2.32418	90.7503	0	
14	6	1961	0	2.28428	93.0345	0	
15	6	1961	0	2.24243	95.263	0	
16	6	1961	0	2.19776	97.4607	0	
17	6	1961	0	2.15698	99.3147	0	
18	6	1961	0	2.10644	101.421	0	
19	6	1961	0	2.05191	103.473	0	
20	6	1961	0	1.99256	105.466	0	
21	6	1961	0	1.92724	107.393	0	
22	6	1961	0	1.85433	109.247	0	
23	6	1961	0	1.77132	111.019	0	
24	6	1961	0	1.67416	112.693	0	
25	6	1961	0	1.5553	114.248	0	
26	6	1961	0	1.86388	109.021	0	
27	6	1961	0	1.7826	110.797	0	
28	6	1961	0	1.68756	112.485	0	
29	6	1961	0	1.57211	114.057	0	
30	6	1961	0	1.42126	115.478	0	
1	7	1961	0	1.16171	116.635	0	
2	7	1961	0	1.0248	117.03	0	
3	7	1961	0	0	117.028	0	
4	7	1961	0	0.697389	117.223	0	
5	7	1961	0	0	117.222	0	
6	7	1961	0	0	117.213	0	
7	7	1961	0	1.34466	115.588	0	
8	7	1961	0	1.27796	116.054	0	
9	7	1961	0	1.00964	117.059	0	
10	7	1961	0	0	117.054	0	
11	7	1961	0	0	117.038	0	
12	7	1961	0	1.85624	106.582	0	
13	7	1961	0	1.8568	106.565	0	
14	7	1961	0	1.81279	107.866	0	
15	7	1961	0	1.85056	106.757	0	
16	7	1961	0	1.79968	108.23	0	
17	7	1961	0	1.73104	109.961	0	
18	7	1961	0	1.65296	111.611	0	
19	7	1961	0	1.56125	113.172	0	
20	7	1961	0	1.44874	114.621	0	
21	7	1961	0	1.29886	115.919	0	
22	7	1961	0	1.0524	116.971	0	
23	7	1961	0	0	116.971	0	
24	7	1961	0	0	116.971	0	
25	7	1961	0	0	116.971	0	
26	7	1961	0	0	116.971	0	
27	7	1961	0	1.45936	114.503	0	
28	7	1961	0	1.42272	114.893	0	
29	7	1961	0	1.26142	116.153	0	
30	7	1961	0	0.970953	117.12	0	
31	7	1961	0	0	117.12	0	
1	8	1961	0	0.950516	117.17	0	
2	8	1961	0	0.685744	117.319	0	
3	8	1961	0	0	117.311	0	
4	8	1961	0	1.56054	112.163	0	
5	8	1961	0	1.73047	108.185	0	
6	8	1961	0	1.80551	105.829	0	
7	8	1961	0	1.90999	101.805	0	
8	8	1961	0	1.8659	103.617	0	
9	8	1961	0	1.81694	105.433	0	
10	8	1961	0	2.05183	94.6947	0	
11	8	1961	0	2.06165	94.1224	0	
12	8	1961	0	2.02624	96.1346	0	
13	8	1961	0	1.98868	98.1173	0	
14	8	1961	0	1.97014	99.0414	0	
15	8	1961	0	1.92902	100.968	0	
16	8	1961	0	1.88978	102.657	0	
17	8	1961	0	1.89627	102.388	0	
18	8	1961	0	1.85008	104.226	0	
19	8	1961	0	1.80108	105.98	0	
20	8	1961	0	1.76316	107.209	0	
21	8	1961	0	1.70578	108.873	0	
22	8	1961	0	1.64016	110.511	0	
23	8	1961	0	1.56579	112.065	0	
24	8	1961	0	1.62646	110.82	0	
25	8	1961	0	1.54941	112.367	0	
26	8	1961	0	1.45809	113.826	0	
27	8	1961	0	1.34426	115.17	0	
28	8	1961	0	1.18738	116.357	0	
29	8	1961	0	0.89295	117.25	0	
30	8	1961	0	0	117.25	0	
31	8	1961	0	0	117.249	0	
1	9	1961	0	0.59911	117.848	0	
2	9	1961	0	0	117.845	0	
3	9	1961	0	0.909448	114.234	0	
4	9	1961	0	0.912574	114.159	0	
5	9	1961	0	0.983958	112.146	0	
6	9	1961	0	1.0375	110.185	0	
7	9	1961	0	1.01169	111.183	0	
8	9	1961	0	0.983331	112.167	0	
9	9	1961	0	0.952218	113.119	0	
10	9	1961	0	0.917749	114.034	0	
11	9	1961	0	0.878815	114.909	0	
12	9	1961	0	0.849032	115.477	0	
13	9	1961	0	1.30933	91.3999	0	
14	9	1961	0	1.32297	89.9389	0	
15	9	1961	0	1.31077	91.2486	0	
16	9	1961	0	1.29982	92.3824	0	
17	9	1961	0	1.29992	92.3724	0	
18	9	1961	0	1.28704	93.6574	0	
19	9	1961	0	1.29941	92.4238	0	
20	9	1961	0	1.3213	90.1211	0	
21	9	1961	0	1.30907	91.4272	0	
22	9	1961	0	1.29645	92.7236	0	
23	9	1961	0	1.28354	93.9982	0	
24	9	1961	0	1.27013	95.2683	0	
25	9	1961	0	1.25631	96.5216	0	
26	9	1961	0	1.24547	97.4661	0	
27	9	1961	0	1.24301	97.6761	0	
28	9	1961	0	1.22969	98.7838	0	
29	9	1961	0	1.27783	94.5456	0	
30	9	1961	0	1.28416	93.9378	0	
1	10	1961	0	0.967468	94.7972	0	
2	10	1961	0	0.95968	95.7559	0	
3	10	1961	0	0.951687	96.7076	0	
4	10	1961	0	1.01702	87.9246	0	
5	10	1961	0	1.02108	87.2987	0	
6	10	1961	0	1.02461	86.7463	0	
7	10	1961	0	1.09019	74.9895	0	
8	10	1961	0	1.0848	76.0673	0	
9	10	1961	0	1.07933	77.1426	0	
10	10	1961	0	1.07374	78.2164	0	
11	10	1961	0	1.06807	79.2844	0	
12	10	1961	0	1.06231	80.3467	0	
13	10	1961	0	1.05645	81.4032	0	
14	10	1961	0	1.05049	82.4537	0	
15	10	1961	0	1.04443	83.4981	0	
16	10	1961	0	1.06667	79.5448	0	
17	10	1961	0	1.10172	72.6055	0	
18	10	1961	0	1.13753	64.538	0	
19	10	1961	0	1.18105	53.2601	0	
20	10	1961	0	1.18626	51.7923	0	
21	10	1961	0	1.18214	52.9535	0	
22	10	1961	0	1.19494	49.2914	0	
23	10	1961	0	1.19093	50.4563	0	
24	10	1961	0	1.21578	42.9801	0	
25	10	1961	0	1.21235	44.0465	0	
26	10	1961	0	1.22762	39.1951	0	
27	10	1961	0	1.25983	28.1299	0	
28	10	1961	0	1.25638	29.3713	0	
29	10	1961	0	1.25285	30.6242	0	
30	10	1961	0	1.2493	31.8735	0	
31	10	1961	0	1.2472	32.6066	0	
1	11	1961	0	0.480179	31.1268	0	
2	11	1961	0	0.480765	30.5866	0	
3	11	1961	0	0.48025	31.0608	0	
4	11	1961	0	0.479732	31.5366	0	
5	11	1961	0	0.480288	31.0259	0	
6	11	1961	0	0.481994	29.4449	0	
7	11	1961	0	0.484072	27.4879	0	
8	11	1961	0	0.483676	27.8636	0	
9	11	1961	0	0.483168	28.3438	0	
10	11	1961	0	0.497469	14.0402	0	
11	11	1961	0	0.498083	13.3883	0	
12	11	1961	0	0.497795	13.6941	0	
13	11	1961	0	0.500045	11.2832	0	
14	11	1961	0	0.499606	11.7568	0	
15	11	1961	0	0.499142	12.2559	0	
16	11	1961	0	0.498677	12.7546	0	
17	11	1961	0	0.49821	13.2528	0	
18	11	1961	0	0.498935	12.4777	0	
19	11	1961	0	0.498472	12.9732	0	
20	11	1961	0	0.498005	13.4712	0	
21	11	1961	0	0.497536	13.9687	0	
22	11	1961	0	0.497536	13.9693	0	
23	11	1961	0	0.497066	14.4663	0	
24	11	1961	0	0.496595	14.9629	0	
25	11	1961	0	0.496122	15.4591	0	
26	11	1961	0	0.495654	15.9487	0	
27	11	1961	0	0.497927	13.5536	0	
28	11	1961	0	0.497461	14.0491	0	
29	11	1961	0	0.498424	13.0245	0	
30	11	1961	0	0.501818	9.35135	0	
1	12	1961	3.50252	0.378082	0	2.35305	
2	12	1961	0	0.378082	0.296082	0	
3	12	1961	3.29931	0.378082	0	2.21653	
4	12	1961	1.70768	0.378082	0	1.14724	
5	12	1961	0	0.378082	0.282082	0	
6	12	1961	0	0.378033	0.636114	0	
7	12	1961	0	0.377792	1.01391	0	
8	12	1961	0.289513	0.378082	0	0.194499	
9	12	1961	1.62932	0.378082	0	1.0946	
10	12	1961	0.74465	0.378082	0	0.500268	
11	12	1961	0.102833	0.378082	0	0.069085	
12	12	1961	0.402507	0.378082	0	0.270411	
13	12	1961	6.25064	0.378082	0	4.19928	
14	12	1961	0	0.378082	0.376082	0	
15	12	1961	0	0.377959	0.752041	0	
16	12	1961	0	0.377721	1.12476	0	
17	12	1961	0	0.37748	1.50224	0	
18	12	1961	0	0.377238	1.87948	0	
19	12	1961	0	0.377005	2.24249	0	
20	12	1961	0	0.376774	2.60126	0	
21	12	1961	0	0.376536	2.9698	0	
22	12	1961	0	0.376294	3.34409	0	
23	12	1961	0	0.37605	3.72014	0	
24	12	1961	0	0.375806	4.09595	0	
25	12	1961	0	0.375561	4.47151	0	
26	12	1961	0	0.375315	4.84682	0	
27	12	1961	0	0.375069	5.22189	0	
28	12	1961	0	0.376931	2.35782	0	
29	12	1961	6.51094	0.378082	0	4.37415	
30	12	1961	2.92133	0.378082	0	1.96259	
31	12	1961	3.998	0.378082	0	2.68592	
1	1	1962	0	0.427397	0.408397	0	
2	1	1962	0	0.427203	0.8286	0	
3	1	1962	0	0.426939	1.19454	0	
4	1	1962	0	0.426633	1.61817	0	
5	1	1962	0	0.426335	2.02851	0	
6	1	1962	0	0.426253	2.14176	0	
7	1	1962	0	0.426809	1.37457	0	
8	1	1962	0	0.426595	1.67016	0	
9	1	1962	4.44214	0.427397	0	2.9843	
10	1	1962	1.05191	0.427397	0	0.706691	
11	1	1962	2.85175	0.427397	0	1.91585	
12	1	1962	0	0.427397	0.420397	0	
13	1	1962	0	0.427189	0.847586	0	
14	1	1962	0	0.426881	1.27447	0	
15	1	1962	0.647282	0.427397	0	0.434854	
16	1	1962	0	0.427397	0.396397	0	
17	1	1962	0.557601	0.427397	0	0.374605	
18	1	1962	1.00705	0.427397	0	0.676553	
19	1	1962	0.6673	0.427397	0	0.448303	
20	1	1962	3.39248	0.427397	0	2.27912	
21	1	1962	4.74969	0.427397	0	3.19092	
22	1	1962	0	0.427397	0.413397	0	
23	1	1962	0.776525	0.427397	0	0.521682	
24	1	1962	0.6673	0.427397	0	0.448303	
25	1	1962	0	0.427397	0.401397	0	
26	1	1962	0	0.427203	0.8286	0	
27	1	1962	0	0.426895	1.25549	0	
28	1	1962	0	0.426587	1.68108	0	
29	1	1962	0	0.426278	2.10736	0	
30	1	1962	0	0.426607	1.65397	0	
31	1	1962	2.65199	0.427397	0	1.78165	
1	2	1962	0	0.627873	0.626873	0	
2	2	1962	0	0.627945	0.475817	0	
3	2	1962	0	0.627408	1.06622	0	
4	2	1962	0	0.62785	0.648075	0	
5	2	1962	0	0.627212	1.25029	0	
6	2	1962	0	0.62656	1.86385	0	
7	2	1962	0.676036	0.627945	0	0.454172	
8	2	1962	0	0.627885	0.614885	0	
9	2	1962	0	0.62724	1.22413	0	
10	2	1962	0	0.626574	1.8507	0	
11	2	1962	0	0.625905	2.4766	0	
12	2	1962	0	0.625824	2.55243	0	
13	2	1962	0	0.626463	1.95489	0	
14	2	1962	0.679599	0.627945	0	0.456565	
15	2	1962	0.303296	0.627945	0	0.203759	
16	2	1962	0	0.627879	0.620879	0	
17	2	1962	0	0.627215	1.24809	0	
18	2	1962	0	0.626548	1.87464	0	
19	2	1962	0	0.625882	2.49852	0	
20	2	1962	0	0.625217	3.11774	0	
21	2	1962	0	0.624545	3.74229	0	
22	2	1962	0	0.623874	4.36216	0	
23	2	1962	0	0.623199	4.98336	0	
24	2	1962	0	0.622526	5.59988	0	
25	2	1962	0	0.621959	6.11684	0	
26	2	1962	0	0.621644	6.40349	0	
27	2	1962	0	0.620961	7.02345	0	
28	2	1962	0	0.621153	6.8496	0	
1	3	1962	0	0.928571	7.77017	0	
2	3	1962	0	0.927029	8.6932	0	
3	3	1962	0	0.926284	9.13749	0	
4	3	1962	0	0.924827	10.0013	0	
5	3	1962	0	0.923306	10.8976	0	
6	3	1962	0	0.921735	11.8174	0	
7	3	1962	0	0.920684	12.429	0	
8	3	1962	0	0.92544	9.63848	0	
9	3	1962	0	0.92728	8.54376	0	
10	3	1962	0.981548	0.940273	0	0.65942	
11	3	1962	0	0.939684	0.930684	0	
12	3	1962	0	0.938275	1.81596	0	
13	3	1962	0	0.936776	2.75173	0	
14	3	1962	0	0.935269	3.687	0	
15	3	1962	0	0.933754	4.62076	0	
16	3	1962	0	0.932232	5.55299	0	
17	3	1962	0	0.930702	6.48369	0	
18	3	1962	0	0.929165	7.41286	0	
19	3	1962	0	0.927621	8.33948	0	
20	3	1962	0	0.926095	9.24957	0	
21	3	1962	0	0.924535	10.1741	0	
22	3	1962	0	0.922985	11.0861	0	
23	3	1962	0	0.921512	11.9476	0	
24	3	1962	0	0.919928	12.8675	0	
25	3	1962	0	0.921	12.2455	0	
26	3	1962	0	0.920269	12.6698	0	
27	3	1962	0	0.929537	7.18834	0	
28	3	1962	0	0.935745	3.39208	0	
29	3	1962	0	0.940273	0.0683558	0	
30	3	1962	0	0.940273	0.217629	0	
31	3	1962	0	0.939762	0.881391	0	
1	4	1962	0.14543	1.76548	0	0.097702	
2	4	1962	0	1.76548	0.198478	0	
3	4	1962	0	1.76548	0.238955	0	
4	4	1962	4.22509	1.76548	0	2.83848	
5	4	1962	0	1.76461	0.851606	0	
6	4	1962	0	1.76184	1.77545	0	
7	4	1962	0.162742	1.76548	0	0.109333	
8	4	1962	0	1.76344	1.24044	0	
9	4	1962	0	1.75821	2.98065	0	
10	4	1962	0	1.76138	1.92904	0	
11	4	1962	0	1.75607	3.68511	0	
12	4	1962	0	1.75078	5.41489	0	
13	4	1962	0	1.74538	7.15828	0	
14	4	1962	0	1.74146	8.41074	0	
15	4	1962	0	1.73598	10.1437	0	
16	4	1962	0	1.74277	7.99449	0	
17	4	1962	0	1.73889	9.22638	0	
18	4	1962	0	1.7344	10.6398	0	
19	4	1962	0	1.72911	12.2839	0	
20	4	1962	0	1.72438	13.7373	0	
21	4	1962	0	1.72504	13.5373	0	
22	4	1962	0	1.71938	15.2567	0	
23	4	1962	0	1.71368	16.9694	0	
24	4	1962	0	1.70791	18.6773	0	
25	4	1962	0	1.70209	20.3794	0	
26	4	1962	0	1.6962	22.0756	0	
27	4	1962	0	1.69025	23.7658	0	
28	4	1962	0	1.68424	25.4501	0	
29	4	1962	0	1.67817	27.1262	0	
30	4	1962	0	1.67203	28.7963	0	
1	5	1962	0	2.34753	31.1438	0	
2	5	1962	0	2.33491	33.4787	0	
3	5	1962	0	2.32519	35.2419	0	
4	5	1962	0	2.31253	37.4954	0	
5	5	1962	0	2.31362	37.303	0	
6	5	1962	0	2.30061	39.5726	0	
7	5	1962	0	2.30779	38.3264	0	
8	5	1962	0	2.29459	40.605	0	
9	5	1962	0	2.28725	41.8493	0	
10	5	1962	0	2.28325	42.5205	0	
11	5	1962	0	2.31275	37.4562	0	
12	5	1962	0	2.30036	39.6146	0	
13	5	1962	0	2.28715	41.8658	0	
14	5	1962	0	2.27667	43.6134	0	
15	5	1962	0	2.26869	44.9241	0	
16	5	1962	0	2.255	47.1291	0	
17	5	1962	0	2.24082	49.3559	0	
18	5	1962	0	2.23321	50.5281	0	
19	5	1962	0	2.22827	51.2794	0	
20	5	1962	0	2.24418	48.8336	0	
21	5	1962	0	2.26098	46.1726	0	
22	5	1962	0	2.24692	48.4045	0	
23	5	1962	0	2.235	50.2535	0	
24	5	1962	0	2.22179	52.2563	0	
25	5	1962	0	2.21568	53.168	0	
26	5	1962	0	2.20971	54.0467	0	
27	5	1962	0	2.21105	53.8507	0	
28	5	1962	0	2.19953	55.5263	0	
29	5	1962	0	2.1845	57.6588	0	
30	5	1962	0	2.16878	59.8275	0	
31	5	1962	0	2.15271	61.9802	0	
1	6	1962	0	2.59059	64.5698	0	
2	6	1962	0	2.5655	67.1353	0	
3	6	1962	0	2.53965	69.675	0	
4	6	1962	0	2.51298	72.188	0	
5	6	1962	0	2.48543	74.6734	0	
6	6	1962	0	2.45692	77.1303	0	
7	6	1962	0	2.42737	79.5577	0	
8	6	1962	0	2.3967	81.9544	0	
9	6	1962	0	2.36577	84.2482	0	
10	6	1962	0	2.33254	86.5807	0	
11	6	1962	0	2.29781	88.8785	0	
12	6	1962	0	2.26142	91.1399	0	
13	6	1962	0	2.22316	93.3631	0	
14	6	1962	0	2.18278	95.5459	0	
15	6	1962	0	2.14001	97.6859	0	
16	6	1962	0	2.09446	99.7803	0	
17	6	1962	0	2.04568	101.826	0	
18	6	1962	0	2.08147	100.344	0	
19	6	1962	0	2.03186	102.37	0	
20	6	1962	0	1.97918	104.311	0	
21	6	1962	0	1.92064	106.231	0	
22	6	1962	0	1.85606	108.087	0	
23	6	1962	0	1.78373	109.871	0	
24	6	1962	0	1.70104	111.572	0	
25	6	1962	0	1.60609	113.139	0	
26	6	1962	0	1.4865	114.623	0	
27	6	1962	0	1.32465	115.947	0	
28	6	1962	0	1.04556	116.991	0	
29	6	1962	0	0	116.99	0	
30	6	1962	0	0	116.988	0	
1	7	1962	0	0.540396	117.528	0	
2	7	1962	0	0	117.528	0	
3	7	1962	0	0	117.517	0	
4	7	1962	0	0.764646	117.498	0	
5	7	1962	0	0	117.476	0	
6	7	1962	0	0	117.476	0	
7	7	1962	0	0	117.476	0	
8	7	1962	0	0	117.476	0	
9	7	1962	0	0	117.419	0	
10	7	1962	0	0.729592	117.527	0	
11	7	1962	0	1.25188	114.658	0	
12	7	1962	0	1.39042	112.288	0	
13	7	1962	0	1.32243	113.582	0	
14	7	1962	0	1.29539	114.025	0	
15	7	1962	0	1.32776	113.49	0	
16	7	1962	0	1.26537	114.472	0	
17	7	1962	0	1.19158	115.393	0	
18	7	1962	0	1.07366	116.429	0	
19	7	1962	0	0.877545	117.304	0	
20	7	1962	0	1.30513	113.87	0	
21	7	1962	0	1.43748	111.222	0	
22	7	1962	0	1.39011	112.294	0	
23	7	1962	0	1.32058	113.614	0	
24	7	1962	0	1.23727	114.851	0	
