Day	Month	Year	Q3(m3/d)	Q2(m3/d)	Q1(m3/d)	GWL(m)
1	1	1961	0	0	0	15	
2	1	1961	0	0.0156548	0.0488362	15.2843	
3	1	1961	0	0.0217242	0.0493915	15.3289	
4	1	1961	0	0.0227676	0.0494787	15.4463	
5	1	1961	0	0.0256275	0.0497081	15.5992	
6	1	1961	0	0.0296039	0.0500066	15.8008	
7	1	1961	0	0.03529	0.0504005	15.898	
8	1	1961	0	0.038208	0.0505903	15.8908	
9	1	1961	0	0.0379883	0.0505763	16.2381	
10	1	1961	0	0.0493352	0.0512548	16.3854	
11	1	1961	0	0.054593	0.0515424	16.3768	
12	1	1961	0	0.0542791	0.0515256	16.3682	
13	1	1961	0	0.053967	0.0515089	16.4351	
14	1	1961	0	0.0564272	0.0516395	16.4263	
15	1	1961	0	0.0561023	0.0516224	16.4176	
16	1	1961	0	0.0557793	0.0516054	16.4089	
17	1	1961	0	0.0554582	0.0515884	16.4003	
18	1	1961	0	0.0551391	0.0515715	16.3916	
19	1	1961	0	0.0548219	0.0515546	16.4782	
20	1	1961	0	0.0580431	0.0517237	16.8023	
21	1	1961	0	0.0709238	0.0523569	16.7958	
22	1	1961	0	0.0706538	0.0523442	16.7859	
23	1	1961	0	0.07024	0.0523248	16.776	
24	1	1961	0	0.0698288	0.0523054	16.7661	
25	1	1961	0	0.0694202	0.0522861	16.7562	
26	1	1961	0	0.0690143	0.0522669	16.7464	
27	1	1961	0	0.068611	0.0522477	16.7596	
28	1	1961	0	0.069153	0.0522735	17.0474	
29	1	1961	0	0.0815183	0.0528356	17.2931	
30	1	1961	0	0.0928824	0.0533157	17.2813	
31	1	1961	0	0.0923184	0.0532925	17.423	
1	2	1961	0	0.0991864	0.0535693	17.5282	
2	2	1961	0	0.104449	0.0537749	17.5305	
3	2	1961	0	0.104562	0.0537793	17.6891	
4	2	1961	0	0.112754	0.0540892	17.8077	
5	2	1961	0	0.119082	0.0543209	17.7967	
6	2	1961	0	0.118483	0.0542993	17.7827	
7	2	1961	0	0.117731	0.054272	17.7688	
8	2	1961	0	0.116984	0.0542448	17.9061	
9	2	1961	0	0.124458	0.054513	17.8916	
10	2	1961	0	0.123659	0.0544848	17.8772	
11	2	1961	0	0.122866	0.0544566	17.9638	
12	2	1961	0	0.127669	0.0546258	17.949	
13	2	1961	0	0.126844	0.054597	17.9344	
14	2	1961	0	0.126026	0.0545683	17.9198	
15	2	1961	0	0.125215	0.0545397	17.9052	
16	2	1961	0	0.12441	0.0545113	17.8907	
17	2	1961	0	0.123611	0.0544831	17.8763	
18	2	1961	0	0.122819	0.0544549	17.862	
19	2	1961	0	0.122032	0.0544269	17.8477	
20	2	1961	0	0.121252	0.054399	17.8335	
21	2	1961	0	0.120478	0.0543712	17.8193	
22	2	1961	0	0.11971	0.0543436	17.8053	
23	2	1961	0	0.118948	0.0543161	17.7912	
24	2	1961	0	0.118191	0.0542887	17.7773	
25	2	1961	0	0.117441	0.0542614	17.7634	
26	2	1961	0	0.116696	0.0542343	17.7496	
27	2	1961	0	0.115957	0.0542073	18.2259	
28	2	1961	0	0.142763	0.0551378	18.3959	
1	3	1961	0	0.153005	0.0554698	18.379	
2	3	1961	0	0.151973	0.0554369	18.3622	
3	3	1961	0	0.15095	0.0554041	18.3455	
4	3	1961	0	0.149935	0.0553715	18.3289	
5	3	1961	0	0.148929	0.0553391	18.3124	
6	3	1961	0	0.147931	0.0553068	18.296	
7	3	1961	0	0.146942	0.0552746	18.2796	
8	3	1961	0	0.145961	0.0552427	18.2633	
9	3	1961	0	0.144988	0.0552109	18.2471	
10	3	1961	0	0.144023	0.0551792	18.231	
11	3	1961	0	0.143067	0.0551478	18.215	
12	3	1961	0	0.142118	0.0551164	18.199	
13	3	1961	0	0.141177	0.0550853	18.1831	
14	3	1961	0	0.140243	0.0550542	18.1673	
15	3	1961	0	0.139318	0.0550234	18.1516	
16	3	1961	0	0.1384	0.0549927	18.136	
17	3	1961	0	0.137489	0.0549621	18.1204	
