Day	Month	Year	Q3(m3/d)	Q2(m3/d)	Q1(m3/d)	GWL(m)
1	1	1961	0	0	0	15	
2	1	1961	0	0.0131746	0.0472788	15.2951	
3	1	1961	0	0.0189811	0.0478369	15.3416	
4	1	1961	0	0.0199928	0.0479248	15.4635	
5	1	1961	0	0.0227704	0.0481555	15.6222	
6	1	1961	0	0.0266553	0.0484556	15.8316	
7	1	1961	0	0.0322482	0.0488515	15.9326	
8	1	1961	0	0.0351358	0.0490425	15.9253	
9	1	1961	0	0.0349237	0.0490287	16.2857	
10	1	1961	0	0.0462091	0.0497104	16.4386	
11	1	1961	0	0.0514728	0.0499995	16.4299	
12	1	1961	0	0.0511633	0.0499829	16.4211	
13	1	1961	0	0.0508558	0.0499664	16.4906	
14	1	1961	0	0.0533263	0.0500978	16.4817	
15	1	1961	0	0.0530053	0.0500809	16.4728	
16	1	1961	0	0.0526863	0.050064	16.4639	
17	1	1961	0	0.0523693	0.0500473	16.455	
18	1	1961	0	0.0520542	0.0500305	16.4462	
19	1	1961	0	0.0517411	0.0500139	16.5361	
20	1	1961	0	0.0549767	0.0501839	16.8725	
21	1	1961	0	0.0679531	0.0508199	16.8658	
22	1	1961	0	0.067684	0.0508074	16.8556	
23	1	1961	0	0.0672696	0.050788	16.8454	
24	1	1961	0	0.066858	0.0507687	16.8352	
25	1	1961	0	0.0664492	0.0507495	16.8251	
26	1	1961	0	0.0660431	0.0507304	16.815	
27	1	1961	0	0.0656398	0.0507113	16.8288	
28	1	1961	0	0.0661899	0.0507373	17.1273	
29	1	1961	0	0.0787019	0.051302	17.3823	
30	1	1961	0	0.090242	0.0517841	17.37	
31	1	1961	0	0.0896685	0.0517609	17.517	
1	2	1961	0	0.0966573	0.0520388	17.6261	
2	2	1961	0	0.102018	0.0522453	17.6284	
3	2	1961	0	0.102132	0.0522496	17.7929	
4	2	1961	0	0.110488	0.0525606	17.9159	
5	2	1961	0	0.11695	0.0527932	17.9043	
6	2	1961	0	0.116332	0.0527712	17.8897	
7	2	1961	0	0.115557	0.0527436	17.8751	
8	2	1961	0	0.114788	0.0527161	18.0174	
9	2	1961	0	0.122425	0.0529853	18.0023	
10	2	1961	0	0.121601	0.0529566	17.9872	
11	2	1961	0	0.120783	0.0529281	18.0769	
12	2	1961	0	0.125689	0.0530978	18.0615	
13	2	1961	0	0.124838	0.0530685	18.0461	
14	2	1961	0	0.123993	0.0530395	18.0308	
15	2	1961	0	0.123155	0.0530106	18.0156	
16	2	1961	0	0.122324	0.0529818	18.0004	
17	2	1961	0	0.1215	0.0529531	17.9854	
18	2	1961	0	0.120683	0.0529246	17.9704	
19	2	1961	0	0.119872	0.0528963	17.9555	
20	2	1961	0	0.119068	0.052868	17.9406	
21	2	1961	0	0.118271	0.05284	17.9258	
22	2	1961	0	0.11748	0.052812	17.9111	
23	2	1961	0	0.116696	0.0527842	17.8965	
24	2	1961	0	0.115918	0.0527565	17.8819	
25	2	1961	0	0.115146	0.0527289	17.8674	
26	2	1961	0	0.11438	0.0527015	17.853	
27	2	1961	0	0.113621	0.0526742	18.3468	
