Day	Month	Year	Runoff(mm/d)	ActualEvaporation(mm/d)	SMD(mm)	PotentialRecharge(mm/d)
1	1	1961	0	0	0	0	
2	1	1961	2.92339	0.552328	0	1.76729	
3	1	1961	0.508978	0.552328	0	0.307694	
4	1	1961	1.24439	0.552328	0	0.752278	
5	1	1961	1.60462	0.552328	0	0.970049	
6	1	1961	2.10134	0.552328	0	1.27033	
7	1	1961	1.05119	0.552328	0	0.635481	
8	1	1961	0	0.552328	0.547328	0	
9	1	1961	3.57945	0.552328	0	2.1639	
10	1	1961	1.5691	0.552328	0	0.948573	
11	1	1961	0	0.552328	0.543328	0	
12	1	1961	0	0.552186	1.07851	0	
13	1	1961	0.761067	0.552328	0	0.460091	
14	1	1961	0	0.552328	0.549328	0	
15	1	1961	0	0.552173	1.0985	0	
16	1	1961	0	0.551819	1.64732	0	
17	1	1961	0	0.551463	2.19778	0	
18	1	1961	0	0.551105	2.74889	0	
19	1	1961	0.960892	0.552328	0	0.580892	
20	1	1961	3.36277	0.552328	0	2.03291	
21	1	1961	0.0353198	0.552328	0	0.021352	
22	1	1961	0	0.552328	0.229328	0	
23	1	1961	0	0.552328	0.774656	0	
24	1	1961	0	0.552026	1.32668	0	
25	1	1961	0	0.55167	1.87835	0	
26	1	1961	0	0.551312	2.42966	0	
27	1	1961	0.231848	0.552328	0	0.14016	
28	1	1961	3.00503	0.552328	0	1.81664	
29	1	1961	2.5912	0.552328	0	1.56647	
30	1	1961	0	0.552328	0.0773282	0	
31	1	1961	1.54957	0.552328	0	0.93677	
1	2	1961	1.18773	0.654246	0	0.718023	
2	2	1961	0.151916	0.654246	0	0.0918383	
3	2	1961	1.73119	0.654246	0	1.04656	
4	2	1961	1.33419	0.654246	0	0.806563	
5	2	1961	0.029762	0.654246	0	0.0179921	
6	2	1961	0	0.654246	0.634246	0	
7	2	1961	0	0.654246	0.290492	0	
8	2	1961	1.52646	0.654246	0	0.922799	
9	2	1961	0	0.654246	0.653246	0	
10	2	1961	0	0.653914	1.29216	0	
11	2	1961	1.01936	0.654246	0	0.616236	
12	2	1961	0	0.654246	0.595246	0	
13	2	1961	0	0.653957	1.2362	0	
14	2	1961	0	0.653457	1.88966	0	
15	2	1961	0	0.653171	2.26283	0	
16	2	1961	0	0.652672	2.9115	0	
17	2	1961	0	0.652173	3.55768	0	
18	2	1961	0	0.651671	4.20735	0	
19	2	1961	0	0.651167	4.85651	0	
20	2	1961	0	0.65066	5.50717	0	
21	2	1961	0	0.650156	6.15333	0	
22	2	1961	0	0.649651	6.79798	0	
23	2	1961	0	0.650171	6.13315	0	
24	2	1961	0	0.651308	4.67546	0	
25	2	1961	0	0.650975	5.10343	0	
26	2	1961	0	0.652693	2.88413	0	
27	2	1961	4.94949	0.654246	0	2.99214	
28	2	1961	1.87827	0.654246	0	1.13548	
1	3	1961	0	1.39966	1.39666	0	
2	3	1961	0	1.39737	2.79104	0	
3	3	1961	0	1.39506	4.1861	0	
4	3	1961	0	1.39274	5.57885	0	
5	3	1961	0	1.39041	6.96926	0	
6	3	1961	0	1.38807	8.35733	0	
7	3	1961	0	1.38571	9.74304	0	
8	3	1961	0	1.38335	11.1264	0	
9	3	1961	0	1.38097	12.5044	0	
10	3	1961	0	1.37858	13.8829	0	
11	3	1961	0	1.37617	15.2591	0	
12	3	1961	0	1.37376	16.6329	0	
13	3	1961	0	1.37133	18.0032	0	
14	3	1961	0	1.36889	19.3721	0	
15	3	1961	0	1.36643	20.7385	0	
16	3	1961	0	1.36396	22.1025	0	
17	3	1961	0	1.36148	23.464	0	
18	3	1961	0	1.35932	24.6393	0	
19	3	1961	0	1.35951	24.5338	0	
20	3	1961	0	1.35961	24.4834	0	
21	3	1961	0	1.35713	25.8235	0	
22	3	1961	0	1.35463	27.1681	0	
23	3	1961	0	1.35209	28.5202	0	
24	3	1961	0	1.34954	29.8698	0	
25	3	1961	0	1.34698	31.2168	0	
26	3	1961	0	1.3444	32.5612	0	
27	3	1961	0	1.34181	33.903	0	
