Day	Month	Year	Runoff(mm/d)	ActualEvaporation(mm/d)	SMD(mm)	PotentialRecharge(mm/d)
1	1	1961	0	0	0	0	
2	1	1961	2.84589	0.552328	0	1.84478	
3	1	1961	0.495485	0.552328	0	0.321187	
4	1	1961	1.2114	0.552328	0	0.785267	
5	1	1961	1.56208	0.552328	0	1.01259	
6	1	1961	2.04563	0.552328	0	1.32604	
7	1	1961	1.02332	0.552328	0	0.663348	
8	1	1961	0	0.552328	0.547328	0	
9	1	1961	3.48456	0.552328	0	2.25879	
10	1	1961	1.5275	0.552328	0	0.99017	
11	1	1961	0	0.552328	0.543328	0	
12	1	1961	0	0.55189	1.07822	0	
13	1	1961	0.741071	0.552328	0	0.480383	
14	1	1961	0	0.552328	0.549328	0	
15	1	1961	0	0.551872	1.0982	0	
16	1	1961	0	0.551393	1.64659	0	
17	1	1961	0	0.550911	2.1965	0	
18	1	1961	0	0.550426	2.74693	0	
19	1	1961	0.936607	0.552328	0	0.607135	
20	1	1961	3.27362	0.552328	0	2.12205	
21	1	1961	0.0343835	0.552328	0	0.0222884	
22	1	1961	0	0.552328	0.229328	0	
23	1	1961	0	0.552155	0.774483	0	
24	1	1961	0	0.551673	1.32616	0	
25	1	1961	0	0.551191	1.87735	0	
26	1	1961	0	0.550707	2.42805	0	
27	1	1961	0.226678	0.552328	0	0.146939	
28	1	1961	2.92537	0.552328	0	1.89631	
29	1	1961	2.52251	0.552328	0	1.63516	
30	1	1961	0	0.552328	0.0773282	0	
31	1	1961	1.50849	0.552328	0	0.977849	
1	2	1961	1.15624	0.654246	0	0.74951	
2	2	1961	0.147889	0.654246	0	0.0958656	
3	2	1961	1.6853	0.654246	0	1.09246	
4	2	1961	1.29882	0.654246	0	0.841933	
5	2	1961	0.028973	0.654246	0	0.0187811	
6	2	1961	0	0.654185	0.634185	0	
7	2	1961	0	0.654246	0.290431	0	
8	2	1961	1.48603	0.654246	0	0.963289	
9	2	1961	0	0.654166	0.653166	0	
10	2	1961	0	0.653506	1.29167	0	
11	2	1961	0.992631	0.654246	0	0.643452	
12	2	1961	0	0.654225	0.595225	0	
13	2	1961	0	0.653564	1.23579	0	
14	2	1961	0	0.652887	1.88868	0	
15	2	1961	0	0.652499	2.26117	0	
16	2	1961	0	0.651823	2.909	0	
17	2	1961	0	0.651147	3.55414	0	
18	2	1961	0	0.650464	4.20261	0	
19	2	1961	0	0.649779	4.85039	0	
20	2	1961	0	0.64909	5.49948	0	
21	2	1961	0	0.648403	6.14388	0	
22	2	1961	0	0.647715	6.7866	0	
23	2	1961	0	0.648429	6.12003	0	
24	2	1961	0	0.64998	4.66101	0	
25	2	1961	0	0.649528	5.08753	0	
26	2	1961	0	0.651866	2.8674	0	
27	2	1961	4.82843	0.654246	0	3.12993	
28	2	1961	1.82848	0.654246	0	1.18527	
1	3	1961	0	1.39873	1.39573	0	
2	3	1961	0	1.39562	2.78835	0	
3	3	1961	0	1.39249	4.18084	0	
4	3	1961	0	1.38934	5.57018	0	
5	3	1961	0	1.38616	6.95634	0	
6	3	1961	0	1.38296	8.3393	0	
7	3	1961	0	1.37974	9.71904	0	
8	3	1961	0	1.3765	11.0955	0	
9	3	1961	0	1.37324	12.4658	0	
