Day	Month	Year	Runoff(mm/d)	ActualEvaporation(mm/d)	SMD(mm)	PotentialRecharge(mm/d)
1	1	1961	0	0	0	0	
2	1	1961	2.74874	0.552328	0	1.94193	
3	1	1961	0.478571	0.552328	0	0.338101	
4	1	1961	1.17005	0.552328	0	0.82662	
5	1	1961	1.50876	0.552328	0	1.06591	
6	1	1961	1.9758	0.552328	0	1.39587	
7	1	1961	0.988391	0.552328	0	0.69828	
8	1	1961	0	0.552328	0.547328	0	
9	1	1961	3.36561	0.552328	0	2.37774	
10	1	1961	1.47536	0.552328	0	1.04231	
11	1	1961	0	0.552328	0.543328	0	
12	1	1961	0	0.552028	1.07836	0	
13	1	1961	0.715692	0.552328	0	0.505624	
14	1	1961	0	0.552328	0.549328	0	
15	1	1961	0	0.552013	1.09834	0	
16	1	1961	0	0.551604	1.64694	0	
17	1	1961	0	0.551192	2.19714	0	
18	1	1961	0	0.550779	2.74792	0	
19	1	1961	0.904057	0.552328	0	0.6387	
20	1	1961	3.16187	0.552328	0	2.2338	
21	1	1961	0.0332098	0.552328	0	0.0234621	
22	1	1961	0	0.552328	0.229328	0	
23	1	1961	0	0.552254	0.774582	0	
24	1	1961	0	0.551843	1.32642	0	
25	1	1961	0	0.551431	1.87786	0	
26	1	1961	0	0.551018	2.42887	0	
27	1	1961	0.21846	0.552328	0	0.154338	
28	1	1961	2.8255	0.552328	0	1.99617	
29	1	1961	2.4364	0.552328	0	1.72127	
30	1	1961	0	0.552328	0.0773282	0	
31	1	1961	1.457	0.552328	0	1.02934	
1	2	1961	1.11677	0.654246	0	0.78898	
2	2	1961	0.14284	0.654246	0	0.100914	
3	2	1961	1.62777	0.654246	0	1.14999	
4	2	1961	1.25448	0.654246	0	0.88627	
5	2	1961	0.027984	0.654246	0	0.0197702	
6	2	1961	0	0.654246	0.634246	0	
7	2	1961	0	0.654246	0.290492	0	
8	2	1961	1.43527	0.654246	0	1.01399	
9	2	1961	0	0.654246	0.653246	0	
10	2	1961	0	0.653701	1.29195	0	
11	2	1961	0.958585	0.654246	0	0.677222	
12	2	1961	0	0.654246	0.595246	0	
13	2	1961	0	0.653751	1.236	0	
14	2	1961	0	0.653173	1.88917	0	
15	2	1961	0	0.652842	2.26201	0	
16	2	1961	0	0.652266	2.91028	0	
17	2	1961	0	0.651689	3.55597	0	
18	2	1961	0	0.651108	4.20507	0	
19	2	1961	0	0.650524	4.8536	0	
20	2	1961	0	0.649938	5.50354	0	
21	2	1961	0	0.649354	6.14889	0	
22	2	1961	0	0.648768	6.79266	0	
23	2	1961	0	0.649373	6.12703	0	
24	2	1961	0	0.650691	4.66872	0	
25	2	1961	0	0.650306	5.09603	0	
26	2	1961	0	0.652296	2.87632	0	
27	2	1961	4.65837	0.654246	0	3.29106	
28	2	1961	1.76606	0.654246	0	1.24769	
1	3	1961	0	1.39918	1.39618	0	
2	3	1961	0	1.39653	2.78972	0	
3	3	1961	0	1.39386	4.18358	0	
4	3	1961	0	1.39118	5.57475	0	
5	3	1961	0	1.38848	6.96323	0	
6	3	1961	0	1.38576	8.34899	0	
7	3	1961	0	1.38303	9.73201	0	
8	3	1961	0	1.38028	11.1123	0	
9	3	1961	0	1.37752	12.4868	0	
10	3	1961	0	1.37473	13.8615	0	
11	3	1961	0	1.37193	15.2335	0	
12	3	1961	0	1.36912	16.6026	0	
13	3	1961	0	1.36628	17.9679	0	
14	3	1961	0	1.36343	19.3313	0	
15	3	1961	0	1.36056	20.6919	0	
16	3	1961	0	1.35767	22.0495	0	
17	3	1961	0	1.35476	23.4043	0	
18	3	1961	0	1.35224	24.5725	0	
19	3	1961	0	1.35248	24.46	0	
20	3	1961	0	1.35261	24.4026	0	
21	3	1961	0	1.3497	25.7353	0	
22	3	1961	0	1.34676	27.0721	0	
23	3	1961	0	1.34379	28.4159	0	
24	3	1961	0	1.34079	29.7567	0	
25	3	1961	0	1.33777	31.0944	0	
26	3	1961	0	1.33473	32.4292	0	
27	3	1961	0	1.33167	33.7608	0	
28	3	1961	0	1.32858	35.0894	0	
29	3	1961	0	1.33085	34.1152	0	
30	3	1961	0	1.33359	32.9258	0	
31	3	1961	0	1.33287	33.2377	0	
1	4	1961	0	1.58701	23.3607	0	
2	4	1961	0	1.59127	21.663	0	
3	4	1961	0	1.59999	18.135	0	
4	4	1961	0	1.60717	15.1701	0	
5	4	1961	0	1.6056	15.8217	0	
6	4	1961	0	1.60172	17.4235	0	
7	4	1961	0	1.61782	10.6723	0	
8	4	1961	0	1.61404	12.2853	0	
9	4	1961	0	1.61028	13.8696	0	
10	4	1961	0	1.60643	15.476	0	
11	4	1961	0	1.60256	17.0786	0	
12	4	1961	0	1.59866	18.6763	0	
13	4	1961	0	1.59477	20.257	0	
14	4	1961	0	1.59081	21.8479	0	
15	4	1961	0	1.58682	23.4347	0	
16	4	1961	0	1.5828	25.0175	0	
17	4	1961	0	1.57875	26.5962	0	
18	4	1961	0	1.57467	28.1709	0	
19	4	1961	0	1.57542	27.8833	0	
20	4	1961	0	1.58104	25.7054	0	
21	4	1961	0	1.577	27.2764	0	
22	4	1961	0	1.58024	26.0186	0	
23	4	1961	0	1.57653	27.4541	0	
24	4	1961	0	1.57246	29.0176	0	
25	4	1961	0	1.56838	30.568	0	
26	4	1961	0	1.56433	32.0873	0	
27	4	1961	0	1.56114	33.2774	0	
28	4	1961	0	1.55693	34.8294	0	
29	4	1961	0	1.55268	36.379	0	
30	4	1961	0	1.5484	37.9244	0	
1	5	1961	0	2.82772	39.4832	0	
2	5	1961	0	2.83333	38.3955	0	
3	5	1961	0	2.82441	40.1209	0	
4	5	1961	0	2.90994	22.6518	0	
5	5	1961	0	2.89645	25.5473	0	
6	5	1961	0	2.88504	27.9553	0	
7	5	1961	0	2.87151	30.7598	0	
8	5	1961	0	2.85747	33.6163	0	
9	5	1961	0	2.84324	36.4536	0	
10	5	1961	0	2.82876	39.2823	0	
11	5	1961	0	2.81406	42.0964	0	
12	5	1961	0	2.79912	44.8955	0	
13	5	1961	0	2.78394	47.6794	0	
14	5	1961	0	2.7685	50.4479	0	
15	5	1961	0	2.7528	53.2007	0	
16	5	1961	0	2.73682	55.9375	0	
17	5	1961	0	2.72056	58.6581	0	
18	5	1961	0	2.704	61.3621	0	
19	5	1961	0	2.68732	64.0204	0	
20	5	1961	0	2.67013	66.6906	0	
21	5	1961	0	2.65259	69.3432	0	
22	5	1961	0	2.63471	71.9779	0	
23	5	1961	0	2.61645	74.5943	0	
24	5	1961	0	2.59779	77.1921	0	
25	5	1961	0	2.57872	79.7708	0	
26	5	1961	0	2.55931	82.3181	0	
27	5	1961	0	2.55522	82.8464	0	
28	5	1961	0	2.54753	83.8279	0	
29	5	1961	0	2.52745	86.3343	0	
30	5	1961	0	2.50673	88.8391	0	
31	5	1961	0	2.49225	90.5403	0	
1	6	1961	0	2.55124	93.0425	0	
2	6	1961	0	2.52751	95.5681	0	
3	6	1961	0	2.50306	98.0711	0	
4	6	1961	0	2.47788	100.549	0	
5	6	1961	0	2.45189	103.001	0	
6	6	1961	0	2.42524	105.409	0	
7	6	1961	0	2.42146	105.742	0	
8	6	1961	0	2.41371	106.418	0	
9	6	1961	0	2.38555	108.802	0	
10	6	1961	0	2.3671	110.303	0	
11	6	1961	0	2.40011	107.583	0	
12	6	1961	0	2.53216	95.0802	0	
13	6	1961	0	2.50786	97.5871	0	
14	6	1961	0	2.48283	100.07	0	
15	6	1961	0	2.45715	102.513	0	
16	6	1961	0	2.43048	104.944	0	
17	6	1961	0	2.40641	107.047	0	
18	6	1961	0	2.37796	109.425	0	
19	6	1961	0	2.34845	111.773	0	
20	6	1961	0	2.31777	114.091	0	
21	6	1961	0	2.28581	116.377	0	
22	6	1961	0	2.25244	118.629	0	
23	6	1961	0	2.2175	120.847	0	
24	6	1961	0	2.1808	123.028	0	
25	6	1961	0	2.14213	125.17	0	
26	6	1961	0	2.22624	120.305	0	
27	6	1961	0	2.1901	122.489	0	
28	6	1961	0	2.15194	124.641	0	
29	6	1961	0	2.11161	126.753	0	
30	6	1961	0	2.06879	128.821	0	
1	7	1961	0	1.92171	130.738	0	
2	7	1961	0	1.89276	132.001	0	
3	7	1961	0	1.84691	133.846	0	
4	7	1961	0	1.81128	135.155	0	
5	7	1961	0	1.7584	136.913	0	
6	7	1961	0	1.70044	138.604	0	
