Day	Month	Year	Q3(m3/d)	Q2(m3/d)	Q1(m3/d)	GWL(m)
1	1	1961	0	0	0	15	
2	1	1961	0	0.00846372	0.0495569	15.2905	
3	1	1961	0	0.0130904	0.0501327	15.3367	
4	1	1961	0	0.0139202	0.0502244	15.4572	
5	1	1961	0	0.0161991	0.0504631	15.6138	
6	1	1961	0	0.0194212	0.0507735	15.8202	
7	1	1961	0	0.0241162	0.0511828	15.9203	
8	1	1961	0	0.0265729	0.0513811	15.9139	
9	1	1961	0	0.0264123	0.0513684	16.269	
10	1	1961	0	0.03607	0.0520723	16.4203	
11	1	1961	0	0.0406411	0.0523723	16.4127	
12	1	1961	0	0.0404045	0.0523572	16.405	
13	1	1961	0	0.0401681	0.052342	16.4743	
14	1	1961	0	0.0423387	0.0524793	16.4665	
15	1	1961	0	0.0420919	0.0524639	16.4587	
16	1	1961	0	0.0418459	0.0524485	16.4509	
17	1	1961	0	0.0416013	0.0524331	16.4432	
18	1	1961	0	0.0413581	0.0524177	16.4355	
19	1	1961	0	0.0411162	0.0524024	16.5249	
20	1	1961	0	0.0439601	0.0525796	16.8565	
21	1	1961	0	0.0553486	0.0532371	16.8513	
22	1	1961	0	0.0551567	0.0532266	16.8423	
23	1	1961	0	0.054834	0.0532089	16.8335	
24	1	1961	0	0.0545131	0.0531913	16.8246	
25	1	1961	0	0.0541943	0.0531737	16.8158	
26	1	1961	0	0.0538773	0.0531562	16.8069	
27	1	1961	0	0.0535623	0.0531388	16.8216	
28	1	1961	0	0.0540864	0.0531678	17.1163	
29	1	1961	0	0.06518	0.0537519	17.3682	
30	1	1961	0	0.0754867	0.0542514	17.3576	
31	1	1961	0	0.0750372	0.0542304	17.5035	
1	2	1961	0	0.0813305	0.0545195	17.6123	
2	2	1961	0	0.0861902	0.0547352	17.6161	
3	2	1961	0	0.0863613	0.0547427	17.7793	
4	2	1961	0	0.0939233	0.0550663	17.9018	
5	2	1961	0	0.0998081	0.0553091	17.8921	
6	2	1961	0	0.0993344	0.0552899	17.8794	
7	2	1961	0	0.0987165	0.0552646	17.8667	
8	2	1961	0	0.0981031	0.0552395	18.0083	
9	2	1961	0	0.105065	0.0555201	17.9951	
10	2	1961	0	0.104406	0.055494	17.9819	
11	2	1961	0	0.103751	0.0554679	18.0718	
12	2	1961	0	0.108266	0.055646	18.0583	
13	2	1961	0	0.107583	0.0556193	18.0449	
14	2	1961	0	0.106905	0.0555927	18.0315	
15	2	1961	0	0.106231	0.0555662	18.0182	
16	2	1961	0	0.105562	0.0555398	18.0049	
17	2	1961	0	0.104899	0.0555135	17.9917	
18	2	1961	0	0.10424	0.0554874	17.9786	
19	2	1961	0	0.103586	0.0554613	17.9655	
20	2	1961	0	0.102937	0.0554354	17.9525	
21	2	1961	0	0.102293	0.0554095	17.9395	
22	2	1961	0	0.101653	0.0553838	17.9266	
23	2	1961	0	0.101018	0.0553582	17.9137	
24	2	1961	0	0.100388	0.0553327	17.9009	
25	2	1961	0	0.0997626	0.0553073	17.8881	
26	2	1961	0	0.0991416	0.055282	17.8754	
27	2	1961	0	0.0985251	0.0552568	18.3627	
28	2	1961	0	0.123542	0.0562226	18.5377	
1	3	1961	0	0.133218	0.0565696	18.5221	
2	3	1961	0	0.132342	0.0565387	18.5066	
3	3	1961	0	0.131471	0.0565079	18.4911	
4	3	1961	0	0.130607	0.0564772	18.4757	
5	3	1961	0	0.12975	0.0564467	18.4604	
6	3	1961	0	0.128899	0.0564163	18.4451	
7	3	1961	0	0.128056	0.0563861	18.43	
8	3	1961	0	0.127219	0.056356	18.4148	
9	3	1961	0	0.126389	0.0563261	18.3998	
10	3	1961	0	0.125565	0.0562963	18.3849	
11	3	1961	0	0.124748	0.0562666	18.37	
12	3	1961	0	0.123938	0.0562371	18.3551	
13	3	1961	0	0.123134	0.0562077	18.3404	
14	3	1961	0	0.122336	0.0561784	18.3257	
15	3	1961	0	0.121544	0.0561493	18.3111	
16	3	1961	0	0.120759	0.0561203	18.2965	
17	3	1961	0	0.119979	0.0560915	18.282	
18	3	1961	0	0.119206	0.0560628	18.2676	
19	3	1961	0	0.118439	0.0560342	18.2532	
20	3	1961	0	0.117677	0.0560057	18.239	
21	3	1961	0	0.116922	0.0559774	18.2247	
22	3	1961	0	0.116172	0.0559492	18.2106	
23	3	1961	0	0.115429	0.0559211	18.1965	
24	3	1961	0	0.114691	0.0558932	18.1824	
25	3	1961	0	0.113958	0.0558653	18.1685	
26	3	1961	0	0.113231	0.0558376	18.1545	
27	3	1961	0	0.11251	0.0558101	18.1407	
28	3	1961	0	0.111794	0.0557826	18.1269	
29	3	1961	0	0.111084	0.0557553	18.1132	
30	3	1961	0	0.110379	0.0557281	18.0995	
31	3	1961	0	0.109679	0.055701	18.0859	
1	4	1961	0	0.108984	0.055674	18.0723	
2	4	1961	0	0.108295	0.0556471	18.0589	
3	4	1961	0	0.107611	0.0556204	18.0454	
4	4	1961	0	0.106932	0.0555938	18.0321	
5	4	1961	0	0.106258	0.0555673	18.0187	
6	4	1961	0	0.10559	0.0555409	18.0055	
7	4	1961	0	0.104926	0.0555146	17.9923	
8	4	1961	0	0.104267	0.0554884	17.9791	
9	4	1961	0	0.103613	0.0554624	17.966	
10	4	1961	0	0.102963	0.0554364	17.953	
11	4	1961	0	0.102319	0.0554106	17.94	
12	4	1961	0	0.101679	0.0553849	17.9271	
13	4	1961	0	0.101044	0.0553592	17.9142	
14	4	1961	0	0.100414	0.0553337	17.9014	
15	4	1961	0	0.0997881	0.0553083	17.8887	
16	4	1961	0	0.0991668	0.055283	17.876	
17	4	1961	0	0.0985501	0.0552578	17.8633	
18	4	1961	0	0.0979379	0.0552327	17.8507	
19	4	1961	0	0.0973301	0.0552078	17.8381	
20	4	1961	0	0.0967267	0.0551829	17.8256	
21	4	1961	0	0.0961277	0.0551581	17.8132	
22	4	1961	0	0.0955329	0.0551334	17.8008	
23	4	1961	0	0.0949425	0.0551088	17.7884	
24	4	1961	0	0.0943562	0.0550844	17.7762	
25	4	1961	0	0.0937742	0.05506	17.7639	
26	4	1961	0	0.0931963	0.0550357	17.7517	
27	4	1961	0	0.0926225	0.0550115	17.7396	
28	4	1961	0	0.0920528	0.0549875	17.7275	
29	4	1961	0	0.0914871	0.0549635	17.7154	
30	4	1961	0	0.0909254	0.0549396	17.7034	
1	5	1961	0	0.0903677	0.0549158	17.6915	
2	5	1961	0	0.0898139	0.0548921	17.6795	
3	5	1961	0	0.0892641	0.0548685	17.6677	
4	5	1961	0	0.088718	0.054845	17.6559	
5	5	1961	0	0.0881758	0.0548216	17.6441	
6	5	1961	0	0.0876374	0.0547982	17.6324	
7	5	1961	0	0.0871028	0.054775	17.6207	
8	5	1961	0	0.0865718	0.0547519	17.6091	
9	5	1961	0	0.0860446	0.0547288	17.5975	
10	5	1961	0	0.085521	0.0547059	17.586	
11	5	1961	0	0.085001	0.054683	17.5745	
12	5	1961	0	0.0844846	0.0546602	17.563	
13	5	1961	0	0.0839718	0.0546375	17.5516	
14	5	1961	0	0.0834625	0.0546149	17.5402	
15	5	1961	0	0.0829567	0.0545924	17.5289	
16	5	1961	0	0.0824543	0.0545699	17.5177	
17	5	1961	0	0.0819554	0.0545476	17.5064	
18	5	1961	0	0.0814599	0.0545253	17.4952	
19	5	1961	0	0.0809678	0.0545031	17.4841	
20	5	1961	0	0.080479	0.054481	17.473	
21	5	1961	0	0.0799935	0.054459	17.4619	
22	5	1961	0	0.0795113	0.0544371	17.4509	
23	5	1961	0	0.0790324	0.0544153	17.4399	
24	5	1961	0	0.0785567	0.0543935	17.429	
25	5	1961	0	0.0780842	0.0543718	17.4181	
