Day	Month	Year	Q3(m3/d)	Q2(m3/d)	Q1(m3/d)	GWL(m)
1	1	1961	0	0	0	15	
2	1	1961	0	0.0144827	0.0467602	15.2809	
3	1	1961	0	0.0203072	0.0472855	15.3251	
4	1	1961	0	0.0213148	0.0473683	15.4412	
5	1	1961	0	0.0240725	0.0475854	15.5922	
6	1	1961	0	0.0279128	0.0478679	15.7915	
7	1	1961	0	0.0334141	0.0482407	15.8877	
8	1	1961	0	0.0362444	0.0484205	15.8807	
9	1	1961	0	0.0360365	0.0484075	16.2238	
10	1	1961	0	0.0470472	0.0490493	16.3694	
11	1	1961	0	0.0521628	0.0493216	16.3611	
12	1	1961	0	0.0518641	0.0493061	16.3529	
13	1	1961	0	0.0515664	0.0492906	16.419	
14	1	1961	0	0.053965	0.0494144	16.4106	
15	1	1961	0	0.0536551	0.0493985	16.4021	
16	1	1961	0	0.0533467	0.0493827	16.3937	
17	1	1961	0	0.0530401	0.049367	16.3853	
18	1	1961	0	0.0527354	0.0493513	16.3769	
19	1	1961	0	0.0524326	0.0493356	16.4627	
20	1	1961	0	0.0555772	0.049496	16.7829	
21	1	1961	0	0.0681286	0.050095	16.7767	
22	1	1961	0	0.0678736	0.0500834	16.7671	
23	1	1961	0	0.0674767	0.0500653	16.7574	
24	1	1961	0	0.0670822	0.0500473	16.7478	
25	1	1961	0	0.0666903	0.0500293	16.7382	
26	1	1961	0	0.0663009	0.0500114	16.7287	
27	1	1961	0	0.065914	0.0499936	16.742	
28	1	1961	0	0.0664533	0.0500184	17.0263	
29	1	1961	0	0.0785217	0.0505502	17.2692	
30	1	1961	0	0.0896269	0.0510045	17.2577	
31	1	1961	0	0.0890846	0.0509829	17.3977	
1	2	1961	0	0.0958026	0.0512449	17.5018	
2	2	1961	0	0.100955	0.0514396	17.5042	
3	2	1961	0	0.101074	0.0514441	17.661	
4	2	1961	0	0.109093	0.0517373	17.7783	
5	2	1961	0	0.115292	0.0519567	17.7675	
6	2	1961	0	0.114715	0.0519366	17.7538	
7	2	1961	0	0.113986	0.051911	17.7402	
8	2	1961	0	0.113263	0.0518856	17.876	
9	2	1961	0	0.120586	0.0521394	17.8618	
10	2	1961	0	0.119812	0.052113	17.8477	
11	2	1961	0	0.119043	0.0520866	17.9334	
12	2	1961	0	0.123754	0.0522469	17.919	
13	2	1961	0	0.122955	0.0522199	17.9046	
14	2	1961	0	0.122162	0.0521931	17.8903	
15	2	1961	0	0.121374	0.0521663	17.8761	
16	2	1961	0	0.120593	0.0521397	17.8619	
17	2	1961	0	0.119819	0.0521132	17.8479	
18	2	1961	0	0.11905	0.0520869	17.8338	
19	2	1961	0	0.118287	0.0520606	17.8199	
20	2	1961	0	0.11753	0.0520345	17.806	
21	2	1961	0	0.116779	0.0520085	17.7921	
22	2	1961	0	0.116034	0.0519826	17.7783	
23	2	1961	0	0.115295	0.0519568	17.7646	
24	2	1961	0	0.114562	0.0519312	17.751	
25	2	1961	0	0.113834	0.0519056	17.7374	
26	2	1961	0	0.113111	0.0518802	17.7239	
27	2	1961	0	0.112394	0.0518549	18.1956	
28	2	1961	0	0.138739	0.0527374	18.3637	
1	3	1961	0	0.148791	0.0530517	18.3472	
2	3	1961	0	0.147787	0.0530208	18.3307	
3	3	1961	0	0.14679	0.05299	18.3143	
4	3	1961	0	0.145801	0.0529593	18.298	
5	3	1961	0	0.144821	0.0529289	18.2818	
6	3	1961	0	0.143849	0.0528985	18.2657	
7	3	1961	0	0.142885	0.0528684	18.2496	
8	3	1961	0	0.14193	0.0528383	18.2337	
9	3	1961	0	0.140982	0.0528085	18.2178	
10	3	1961	0	0.140042	0.0527787	18.202	
11	3	1961	0	0.13911	0.0527492	18.1862	
12	3	1961	0	0.138186	0.0527198	18.1706	
13	3	1961	0	0.137269	0.0526905	18.155	
14	3	1961	0	0.13636	0.0526613	18.1395	
15	3	1961	0	0.135459	0.0526324	18.1241	
16	3	1961	0	0.134564	0.0526035	18.1087	
17	3	1961	0	0.133678	0.0525748	18.0935	
18	3	1961	0	0.132798	0.0525462	18.0783	
19	3	1961	0	0.131926	0.0525178	18.0631	
20	3	1961	0	0.13106	0.0524895	18.0481	
21	3	1961	0	0.130202	0.0524614	18.0331	
22	3	1961	0	0.129351	0.0524334	18.0182	
23	3	1961	0	0.128506	0.0524055	18.0034	
24	3	1961	0	0.127668	0.0523778	17.9886	
25	3	1961	0	0.126837	0.0523501	17.9739	
26	3	1961	0	0.126013	0.0523227	17.9593	
27	3	1961	0	0.125195	0.0522953	17.9448	
28	3	1961	0	0.124384	0.0522681	17.9303	
29	3	1961	0	0.123579	0.052241	17.9159	
30	3	1961	0	0.122781	0.052214	17.9015	
31	3	1961	0	0.121989	0.0521872	17.8872	
1	4	1961	0	0.121203	0.0521605	17.873	
2	4	1961	0	0.120424	0.0521339	17.8589	
3	4	1961	0	0.11965	0.0521074	17.8448	
4	4	1961	0	0.118883	0.0520811	17.8308	
5	4	1961	0	0.118121	0.0520549	17.8168	
6	4	1961	0	0.117366	0.0520288	17.8029	
7	4	1961	0	0.116616	0.0520028	17.7891	
8	4	1961	0	0.115872	0.051977	17.7753	
9	4	1961	0	0.115134	0.0519512	17.7616	
10	4	1961	0	0.114402	0.0519256	17.748	
11	4	1961	0	0.113675	0.0519001	17.7344	
12	4	1961	0	0.112954	0.0518747	17.7209	
13	4	1961	0	0.112239	0.0518494	17.7075	
14	4	1961	0	0.111528	0.0518242	17.6941	
15	4	1961	0	0.110824	0.0517992	17.6807	
16	4	1961	0	0.110124	0.0517743	17.6675	
17	4	1961	0	0.10943	0.0517494	17.6542	
18	4	1961	0	0.108742	0.0517247	17.6411	
19	4	1961	0	0.108058	0.0517001	17.628	
20	4	1961	0	0.10738	0.0516756	17.6149	
21	4	1961	0	0.106706	0.0516512	17.602	
22	4	1961	0	0.106038	0.0516269	17.589	
23	4	1961	0	0.105375	0.0516027	17.5762	
24	4	1961	0	0.104717	0.0515787	17.5633	
25	4	1961	0	0.104063	0.0515547	17.5506	
26	4	1961	0	0.103415	0.0515308	17.5379	
27	4	1961	0	0.102771	0.0515071	17.5252	
28	4	1961	0	0.102132	0.0514834	17.5126	
29	4	1961	0	0.101498	0.0514599	17.5001	
30	4	1961	0	0.100869	0.0514364	17.4876	
1	5	1961	0	0.100244	0.051413	17.4752	
2	5	1961	0	0.0996236	0.0513898	17.4628	
3	5	1961	0	0.0990079	0.0513666	17.4505	
4	5	1961	0	0.0983967	0.0513436	17.4382	
5	5	1961	0	0.0977899	0.0513206	17.426	
