Day	Month	Year	Q3(m3/d)	Q2(m3/d)	Q1(m3/d)	GWL(m)
1	1	1961	0	0	0	15	
2	1	1961	0	0.011767	0.0482281	15.2857	
3	1	1961	0	0.0169287	0.0487792	15.3313	
4	1	1961	0	0.017839	0.0488672	15.4495	
5	1	1961	0	0.02031	0.0490952	15.6034	
6	1	1961	0	0.0237686	0.0493921	15.8065	
7	1	1961	0	0.0287476	0.0497839	15.9048	
8	1	1961	0	0.0313265	0.0499735	15.898	
9	1	1961	0	0.0311462	0.0499605	16.2472	
10	1	1961	0	0.0411778	0.050634	16.3961	
11	1	1961	0	0.0458826	0.0509213	16.3881	
12	1	1961	0	0.0456248	0.050906	16.3799	
13	1	1961	0	0.0453585	0.0508901	16.4474	
14	1	1961	0	0.0475623	0.0510203	16.4391	
15	1	1961	0	0.0472895	0.0510044	16.4307	
16	1	1961	0	0.0470136	0.0509882	16.4224	
17	1	1961	0	0.0467392	0.050972	16.414	
18	1	1961	0	0.0464664	0.0509559	16.4057	
19	1	1961	0	0.0461953	0.0509399	16.4931	
20	1	1961	0	0.0490847	0.0511085	16.8193	
21	1	1961	0	0.0606387	0.0517377	16.8138	
22	1	1961	0	0.0604364	0.0517272	16.8043	
23	1	1961	0	0.0600806	0.0517088	16.7947	
24	1	1961	0	0.0597269	0.0516903	16.7852	
25	1	1961	0	0.0593753	0.051672	16.7757	
26	1	1961	0	0.0590259	0.0516537	16.7663	
27	1	1961	0	0.0586787	0.0516355	16.78	
28	1	1961	0	0.0591841	0.051662	17.0695	
29	1	1961	0	0.0703321	0.0522205	17.3174	
30	1	1961	0	0.0806411	0.0526987	17.3065	
31	1	1961	0	0.0801738	0.0526777	17.4493	
1	2	1961	0	0.0864148	0.0529532	17.5559	
2	2	1961	0	0.091224	0.0531587	17.5589	
3	2	1961	0	0.091362	0.0531645	17.7188	
4	2	1961	0	0.0988289	0.053473	17.8388	
5	2	1961	0	0.104628	0.0537046	17.8285	
6	2	1961	0	0.104124	0.0536847	17.8151	
7	2	1961	0	0.103467	0.0536587	17.8017	
8	2	1961	0	0.102814	0.0536329	17.9402	
9	2	1961	0	0.10965	0.0539	17.9265	
10	2	1961	0	0.108966	0.0538737	17.9126	
11	2	1961	0	0.108272	0.0538468	18.0002	
12	2	1961	0	0.112681	0.0540158	17.9861	
13	2	1961	0	0.111969	0.0539887	17.972	
14	2	1961	0	0.111252	0.0539614	17.9579	
15	2	1961	0	0.11054	0.0539342	17.9438	
16	2	1961	0	0.109834	0.0539071	17.9298	
17	2	1961	0	0.109134	0.0538801	17.9159	
18	2	1961	0	0.108438	0.0538533	17.9021	
19	2	1961	0	0.107748	0.0538266	17.8883	
20	2	1961	0	0.107064	0.0537999	17.8745	
21	2	1961	0	0.106384	0.0537735	17.8609	
22	2	1961	0	0.10571	0.0537471	17.8473	
23	2	1961	0	0.10504	0.0537208	17.8337	
24	2	1961	0	0.104376	0.0536947	17.8202	
25	2	1961	0	0.103717	0.0536686	17.8068	
26	2	1961	0	0.103063	0.0536427	17.7934	
27	2	1961	0	0.102413	0.0536169	18.2735	
28	2	1961	0	0.127003	0.054543	18.4458	
1	3	1961	0	0.136474	0.0548754	18.4298	
2	3	1961	0	0.135582	0.0548446	18.4135	
3	3	1961	0	0.134677	0.0548132	18.3973	
4	3	1961	0	0.133779	0.054782	18.3813	
5	3	1961	0	0.132889	0.054751	18.3652	
6	3	1961	0	0.132006	0.05472	18.3493	
7	3	1961	0	0.13113	0.0546893	18.3334	
8	3	1961	0	0.130261	0.0546587	18.3176	
9	3	1961	0	0.1294	0.0546282	18.3019	
10	3	1961	0	0.128545	0.0545979	18.2863	
11	3	1961	0	0.127697	0.0545678	18.2707	
12	3	1961	0	0.126857	0.0545377	18.2552	
13	3	1961	0	0.126023	0.0545079	18.2398	
14	3	1961	0	0.125195	0.0544781	18.2245	
15	3	1961	0	0.124375	0.0544485	18.2092	
16	3	1961	0	0.12356	0.0544191	18.194	
17	3	1961	0	0.122753	0.0543898	18.1789	
18	3	1961	0	0.121951	0.0543606	18.1639	
19	3	1961	0	0.121157	0.0543316	18.1489	
20	3	1961	0	0.120368	0.0543027	18.134	
21	3	1961	0	0.119586	0.0542739	18.1191	
22	3	1961	0	0.11881	0.0542453	18.1043	
23	3	1961	0	0.11804	0.0542168	18.0896	
24	3	1961	0	0.117275	0.0541884	18.075	
25	3	1961	0	0.116517	0.0541602	18.0604	
26	3	1961	0	0.115765	0.054132	18.0459	
27	3	1961	0	0.115019	0.0541041	18.0315	
28	3	1961	0	0.114279	0.0540762	18.0171	
29	3	1961	0	0.113544	0.0540485	18.0028	
30	3	1961	0	0.112815	0.0540209	17.9886	
31	3	1961	0	0.112091	0.0539934	17.9744	
1	4	1961	0	0.111373	0.0539661	17.9603	
2	4	1961	0	0.110661	0.0539388	17.9462	
3	4	1961	0	0.109954	0.0539117	17.9322	
4	4	1961	0	0.109253	0.0538847	17.9183	
5	4	1961	0	0.108557	0.0538579	17.9044	
6	4	1961	0	0.107866	0.0538311	17.8906	
7	4	1961	0	0.10718	0.0538045	17.8769	
8	4	1961	0	0.1065	0.053778	17.8632	
9	4	1961	0	0.105824	0.0537516	17.8496	
10	4	1961	0	0.105154	0.0537253	17.836	
11	4	1961	0	0.104489	0.0536991	17.8225	
12	4	1961	0	0.103829	0.0536731	17.8091	
13	4	1961	0	0.103174	0.0536471	17.7957	
14	4	1961	0	0.102523	0.0536213	17.7823	
15	4	1961	0	0.101878	0.0535956	17.7691	
16	4	1961	0	0.101237	0.05357	17.7558	
17	4	1961	0	0.100601	0.0535445	17.7427	
18	4	1961	0	0.0999702	0.0535191	17.7296	
19	4	1961	0	0.0993436	0.0534938	17.7165	
20	4	1961	0	0.0987217	0.0534686	17.7035	
21	4	1961	0	0.0981043	0.0534436	17.6906	
22	4	1961	0	0.0974915	0.0534186	17.6777	
23	4	1961	0	0.0968832	0.0533938	17.6649	
24	4	1961	0	0.0962793	0.053369	17.6521	
25	4	1961	0	0.0956798	0.0533444	17.6394	
26	4	1961	0	0.0950846	0.0533198	17.6267	
27	4	1961	0	0.0944938	0.0532954	17.6141	
28	4	1961	0	0.0939073	0.053271	17.6015	
29	4	1961	0	0.093325	0.0532468	17.589	
30	4	1961	0	0.0927469	0.0532227	17.5766	
1	5	1961	0	0.092173	0.0531986	17.5642	
2	5	1961	0	0.0916032	0.0531747	17.5518	
3	5	1961	0	0.0910374	0.0531508	17.5395	
4	5	1961	0	0.0904758	0.0531271	17.5272	
5	5	1961	0	0.0899181	0.0531034	17.515	
6	5	1961	0	0.0893644	0.0530799	17.5029	
7	5	1961	0	0.0888146	0.0530564	17.4907	
8	5	1961	0	0.0882687	0.0530331	17.4787	
9	5	1961	0	0.0877267	0.0530098	17.4667	
10	5	1961	0	0.0871885	0.0529866	17.4547	
11	5	1961	0	0.0866542	0.0529635	17.4428	
12	5	1961	0	0.0861235	0.0529405	17.4309	
13	5	1961	0	0.0855966	0.0529176	17.4191	
14	5	1961	0	0.0850734	0.0528948	17.4073	
15	5	1961	0	0.0845539	0.0528721	17.3956	
16	5	1961	0	0.0840379	0.0528494	17.3839	
17	5	1961	0	0.0835256	0.0528269	17.3722	
18	5	1961	0	0.0830168	0.0528044	17.3606	
19	5	1961	0	0.0825115	0.0527821	17.3491	
20	5	1961	0	0.0820098	0.0527598	17.3376	
21	5	1961	0	0.0815115	0.0527376	17.3261	
22	5	1961	0	0.0810166	0.0527155	17.3147	
23	5	1961	0	0.0805252	0.0526935	17.3033	
24	5	1961	0	0.0800371	0.0526715	17.292	
25	5	1961	0	0.0795523	0.0526497	17.2807	
26	5	1961	0	0.0790709	0.0526279	17.2695	
27	5	1961	0	0.0785928	0.0526062	17.2583	
28	5	1961	0	0.0781179	0.0525846	17.2471	
29	5	1961	0	0.0776462	0.0525631	17.236	
30	5	1961	0	0.0771778	0.0525416	17.2249	
31	5	1961	0	0.0767125	0.0525203	17.2139	
1	6	1961	0	0.0762504	0.052499	17.2029	
2	6	1961	0	0.0757913	0.0524778	17.192	
3	6	1961	0	0.0753354	0.0524566	17.181	
4	6	1961	0	0.0748825	0.0524356	17.1702	
5	6	1961	0	0.0744327	0.0524146	17.1593	
6	6	1961	0	0.0739859	0.0523937	17.1486	
7	6	1961	0	0.073542	0.0523729	17.1378	
8	6	1961	0	0.0731012	0.0523522	17.1271	
9	6	1961	0	0.0726632	0.0523315	17.1164	
10	6	1961	0	0.0722282	0.0523109	17.1058	
